id	kind	claim_or_question	decision_or_result	evidence	verdict
WATCH-001	result	Do watcher hints reconcile catalog state instead of directly mutating it?	Yes. Root watchers debounce and collapse dirty scopes, back off after errors, stage scans, and mark disappeared assets missing only in a checked reconciliation commit.	electron/watcher-reconciliation.ts; electron/catalog-watcher-adapter.ts; tests/watcher-relink.test.mts; tests/catalog-watcher-adapter.test.mts.	pass
RELINK-001	result	Does per-file relink preserve AssetIds and require review below exact hashes?	Yes. Main-only candidate paths are observed and hashed; only unique exact hashes preselect, lower ranks require explicit one-to-one acceptance, and destination/source state is rechecked before one catalog apply.	electron/catalog-asset-relink-service.ts; lib/catalog/relink.ts; tests/catalog-asset-relink-service.test.mts.	pass
TRANSACTION-001	result	Do Copy, Move, and Rename use the five-stage recoverable protocol?	Yes on qualified POSIX builds. Plans freeze, XMP travels as a bundle, each safe stage is journaled and fault-injectable, replacement has a proved backup, cleanup failure reports source retained, and fd-relative native operations retain opened parent authority across a symlink swap. Missing helpers and Windows are typed unavailable with no path fallback. The issue close gate remains open until a packaged kill at destination-published is exercised end to end.	electron/file-transaction-service.ts; electron/native-file-transaction-helper.ts; native/file-transaction-helper/file-transaction-helper.c; tests/catalog-domain.test.mts; tests/native-file-transaction-helper.test.mts.	pass-with-platform-and-restart-gates
IMPORT-001	result	Do manual imports freeze preset, duplicate, name-conflict, metadata, and placement decisions before writes?	Yes. Preset CRUD, deterministic preview, duplicate proof, destination review, Add/Copy/Move, frozen metadata/Develop defaults, cancellation, restart recovery, and path-free summaries pass. Copy as DNG remains explicitly unavailable behind #89.	electron/catalog-manual-import-controller.ts; electron/catalog-import-adapter.ts; components/catalog/CatalogManualImportPanel.tsx; tests/catalog-manual-import-controller.test.mts; tests/catalog-import-adapter.test.mts.	pass-with-dng-gate
AUTO-002	result	Does Auto Import reuse the manual executor with a durable Copy-only queue and complete controls?	Yes. Stable-file observation, event collapse, bounded enumeration, leases, retry/backoff, restart recovery, pause/resume/cancel/disable/retry/clear, and the shared frozen-plan executor pass. Move, Replace, and use-existing-location remain unavailable.	electron/catalog-auto-import-controller.ts; electron/catalog-auto-import-monitor.ts; electron/catalog-auto-import-executor.ts; electron/auto-import-store.ts; tests/catalog-auto-import-controller.test.mts; tests/catalog-auto-import-runtime.test.mts.	pass-with-safety-gates
AUTO-001	decision	What is the default Auto Import placement mode?	Copy. Move is rejected for monitored ingress.	Postplan decision log and issue #23 safety constraints.	accepted
ADMIN-001	decision	What is the backup default?	Manual backup plus a configurable schedule. Restore opens as new unless Merge or Replace is dry-run and explicitly confirmed.	Postplan step 13 and catalog administration reference.	accepted
ADMIN-002	result	Which administration gates are enabled?	Read-only inspect/validate, online backup, retention schedule, compact preview/validated swap, export, and import-as-new are enabled. Merge/Replace stay unavailable because no production dry-run and forward-fact adapter is qualified.	electron/catalog-admin-service.ts; electron/catalog-package-service.ts; components/catalog/CatalogAdministration.tsx; tests/catalog-admin-service.test.mts; tests/catalog-package-streaming.test.mts.	pass-with-restore-gate
LIFECYCLE-001	result	Can catalog work cross a close, switch, optimize, or same-catalog reopen boundary?	No. Admission closes synchronously; Manual, Auto, fingerprint, and relink mutations drain cooperatively; watcher and relink commits recheck abort/session at the final pre-apply boundary; recovery runs only after the last queued transition.	electron/catalog-work-lifecycle.ts; electron/main.ts; electron/catalog-watcher-adapter.ts; electron/catalog-asset-relink-service.ts; tests/catalog-work-lifecycle.test.mts; tests/catalog-watcher-adapter.test.mts; tests/catalog-asset-relink-service.test.mts.	pass
BASE-001	baseline	Do existing tests pass before the completion work?	Yes: 55 tests pass.	npm test on main commit 196bd43.	pass
BASE-002	baseline	Does the merged foundation build?	Yes. Next static export and Electron build pass with existing workspace-root and circular-chunk warnings.	npm run build on main commit 196bd43.	pass-with-known-warnings
BASE-003	baseline	Is full lint clean before the completion work?	No: three existing errors and three existing warnings outside this change.	npm run lint on main commit 196bd43; AlbumPickerPopup, RemovePhotosPopup, useScrollToSelectedRow errors; three virtualizer warnings.	known-baseline
VERIFY-001	verification	Does the complete automated suite pass?	Yes: 241 tests pass with no failures or skips after pretest builds the host helper.	npm test on branch head.	pass
VERIFY-002	verification	Do TypeScript, production builds, and worker runtimes pass?	Yes. TypeScript, Next static export, Electron build, worker-thread smoke, and packaged Electron worker smoke pass. The packaged smoke also proves the fd-relative helper is an unpacked regular executable.	npx tsc --noEmit; npm run build; npm run test:catalog-worker:worker; npm run test:catalog-worker:electron.	pass-with-known-build-warnings
VERIFY-003	verification	Did this change add lint findings?	No. Source lint now reports two pre-existing errors and three pre-existing virtualizer warnings, down from the three-error baseline.	npm run lint; remaining errors are AlbumPickerPopup and useScrollToSelectedRow.	pass-against-baseline
VERIFY-004	verification	Does the browser fallback remain honest and usable?	Yes. The static page renders at 1280x800, shows the desktop-app requirement, and keeps Electron-only Import, Export, and retry actions disabled.	T3 collaborative preview of http://localhost:3000 on 2026-08-24.	pass
REVIEW-001	verification	Are any high-severity catalog safety blockers still open in the implementation?	No. Final read-only review re-ran the watcher/relink race analysis and cleared lifecycle admission, renderer rule authority, imported-root authority, fd-relative operations, and typed gates.	Final gpt-5.6-sol safety review after 241 passing tests.	pass
